sector_group,occupation_group,weighted_workers
Finance & real estate,Drivers,1264.345794677734
Tech/admin services,Legislators,6421.875034332275
Tech/admin services,Managers,2245.657699584961
Tech/admin services,Engineering profs,8773.733764648438
Tech/admin services,Health profs,9232.198642730713
Tech/admin services,Teaching profs,429.0967826843262
Tech/admin services,Other profs,58181.3574256897
Tech/admin services,Clerical,34558.2364616394
Tech/admin services,Personal services,39620.74164962769
Tech/admin services,Sales,27044.43088912964
Tech/admin services,Craft/machine ops,12255.6799621582
Tech/admin services,Agri workers,1710.916637420654
Tech/admin services,Drivers,1100.715515136719
Public admin,Legislators,7118.720111846924
Public admin,Managers,1240.752914428711
Public admin,Engineering profs,4706.814979553223
Public admin,Health profs,2746.101623535156
Public admin,Other profs,25187.10061645508
Public admin,Clerical,16970.17266082764
Public admin,Personal services,72570.02545928955
Public admin,Sales,361.6279296875
Public admin,Craft/machine ops,2946.170967102051
Public admin,Agri workers,2014.353485107422
Public admin,Other/armed forces,28785.1530380249
Public admin,Drivers,2093.911178588867
Education,Legislators,251.3851547241211
Education,Managers,15578.91027832031
Education,Engineering profs,1621.564498901367
Education,Health profs,221.6039657592773
Education,Teaching profs,281877.1630783081
Education,Other profs,11462.48823165894
Education,Clerical,17790.77606582642
Education,Personal services,24529.41907119751
Education,Sales,52.88098907470703
Education,Craft/machine ops,3341.555801391602
Education,Other/armed forces,846.6740112304688
Education,Drivers,1066.590961456299
Health & social work,Legislators,343.1016235351563
Health & social work,Managers,1197.360385894775
Health & social work,Engineering profs,1116.944946289063
Health & social work,Health profs,77936.30695343018
Health & social work,Teaching profs,1036.026557922363
Health & social work,Other profs,5558.547088623047
Health & social work,Clerical,5199.301204681396
Health & social work,Personal services,17568.93158721924
Health & social work,Sales,1518.080291748047
Health & social work,Craft/machine ops,726.3693923950195
Health & social work,Other/armed forces,42.08551025390625
Health & social work,Drivers,3202.907196044922
Other services,Managers,6654.502758026123
Other services,Engineering profs,3013.90856552124
Other services,Health profs,851.6566848754883
Other services,Teaching profs,61041.66636657715
Other services,Other profs,43828.30920791626
Other services,Clerical,16400.47496795654
Other services,Personal services,268595.5348625183
Other services,Sales,8536.167835235596
Other services,Craft/machine ops,312291.4611625671
Other services,Agri workers,5165.441818237305
Other services,Drivers,8803.724582672119
