country,sector_group,mfn_rate
AFG,Agriculture,4.516501650165017
AFG,Non-mfg,9.577169811320754
AFG,Food/bev,3.252475247524752
AFG,Textiles,2.808333333333333
AFG,Wood,9.143939393939394
AFG,Fuel/chem/metal,11.1
AFG,Machinery/transport,4.584359504132231
AFG,Other mfg,5.027173913043478
BGD,Agriculture,22.5
BGD,Non-mfg,15.13987688098495
BGD,Food/bev,8.382352941176471
BGD,Textiles,13.16671875
BGD,Wood,23.69230769230769
BGD,Fuel/chem/metal,17.67772511848341
BGD,Machinery/transport,7.430073313782992
BGD,Other mfg,11.3659793814433
BTN,Agriculture,9.162011173184357
BTN,Non-mfg,9.529860228716645
BTN,Food/bev,6.796116504854369
BTN,Textiles,10
BTN,Wood,10
BTN,Fuel/chem/metal,24.19354838709678
BTN,Machinery/transport,9.342657342657343
BTN,Other mfg,7.551020408163265
IND,Agriculture,30.81005586592179
IND,Non-mfg,16.32305732484077
IND,Food/bev,29.95145631067961
IND,Textiles,33.35884057971015
IND,Wood,37.07142857142857
IND,Fuel/chem/metal,33.03801843317972
IND,Machinery/transport,6.881176470588235
IND,Other mfg,10.99489795918367
LKA,Agriculture,17.26878612716763
LKA,Non-mfg,11.39323568575233
LKA,Food/bev,14.32038834951456
LKA,Textiles,16.06884057971014
LKA,Wood,19.5
LKA,Fuel/chem/metal,28.35913705583756
LKA,Machinery/transport,.3100854700854701
LKA,Other mfg,7.37268817204301
MDV,Agriculture,6.067150837988827
MDV,Non-mfg,14.11287166454892
MDV,Food/bev,0
MDV,Textiles,5.072463768115942
MDV,Wood,5.780571428571429
MDV,Fuel/chem/metal,24.93013888888889
MDV,Machinery/transport,12.84668531468532
MDV,Other mfg,.3826530612244898
NPL,Agriculture,10.97298882681564
NPL,Non-mfg,12.55789540816327
NPL,Food/bev,9.951456310679612
NPL,Textiles,10.43478260869565
NPL,Wood,18.35714285714286
NPL,Fuel/chem/metal,18.17376404494382
NPL,Machinery/transport,9.767845070422535
NPL,Other mfg,10.92683673469388
PAK,Agriculture,13.07821229050279
PAK,Non-mfg,10.18179617834395
PAK,Food/bev,7.223300970873787
PAK,Textiles,12.86
PAK,Wood,17.4
PAK,Fuel/chem/metal,19.86926267281106
PAK,Machinery/transport,2.031372549019608
PAK,Other mfg,10.1965306122449
